wrong,right,reason
kruh,hleb,хорватизм
tisuća,hiljada,хорватизм
tjedan,nedelja,хорватизм
tko,ko,хорватизм
vlak,voz,хорватизм
kolodvor,stanica,хорватизм
juha,supa,хорватизм
zrak,vazduh,хорватизм
povijest,istorija,хорватизм
glazba,muzika,хорватизм
tvornica,fabrika,хорватизм
rajčica,paradajz,хорватизм
unatoč,uprkos,хорватизм
sijeda,seda,хорватизм
siječanj,januar,хорватское название месяца
veljača,februar,хорватское название месяца
listopad,oktobar,хорватское название месяца
prosinac,decembar,хорватское название месяца
mlijeko,mleko,иекавица
lijep,lep,иекавица
rijeka,reka,иекавица
vrijeme,vreme,иекавица
dijete,dete,иекавица
svijet,svet,иекавица
cvijet,cvet,иекавица
nedjelja,nedelja,иекавица
djevojka,devojka,иекавица
gdje,gde,иекавица
uvijek,uvek,иекавица
razumjeti,razumeti,иекавица
živjeti,živeti,иекавица
htjeti,hteti,иекавица
dvije,dve,иекавица
